  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x711404987650            530            140   3.79  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...         std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...        
0x7114048b2fa8             84             22   3.82  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...         std::__do_uninit_copy<std::filesystem::__cxx11::path::iterator, std::_Deque_i...        
0x71140498c8f0           5429           1124   4.83  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::canonical                                                               std::filesystem::canonical                                                              
0x7114048b408d            179             29   6.17  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::canonical.cold                                                          std::filesystem::canonical.cold                                                         
0x71140498a700           2879            638   4.51  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::copy                                                                    std::filesystem::copy                                                                   
0x7114048b3eab             46             10   4.60  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::copy.cold                                                               std::filesystem::copy.cold                                                              
0x71140498bb40           2611            526   4.96  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::create_directories                                                      std::filesystem::create_directories                                                     
0x7114048b3fce             56             12   4.67  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::create_directories.cold                                                 std::filesystem::create_directories.cold                                                
0x7114049897f0            565            148   3.82  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::current_path[abi:cxx11]                                                 std::filesystem::current_path[abi:cxx11]                                                
0x7114048b3c5e             51             12   4.25  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::current_path[abi:cxx11].cold                                            std::filesystem::current_path[abi:cxx11].cold                                           
0x711404989e60           2044            445   4.59  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::do_copy_file                                                            std::filesystem::do_copy_file                                                           
0x7114048b3dec         878704             51 17229.49  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::do_copy_file.cold                                                       std::filesystem::do_copy_file.cold                                                      
0x71140498e5a0            196             62   3.16  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x71140498f2b0            645            164   3.93  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x7114048b4276             44             10   4.40  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
